audio_id,snr_db,dynamic_range_db,silence_ratio,audio_path,passed,reasons,warnings,duration,sample_rate,bit_depth,channels,file_size,clipping_ratio,loudness_lufs,true_peak_db,corrupted,too_short,too_long,low_sample_rate,low_bit_depth,high_silence,high_clipping,low_snr,low_dynamic_range,loudness_normalized,noise_candidate,noise_candidate_reason
01M0E9X19DMAXGT6QD167G1YJX,21.58,44.98,0.2988,data/00_raw_collect/raw_audio/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,True,,,30.0,44100,16,2,5292142,0.0,-18.06,-1.32,False,False,False,False,False,False,False,False,False,False,False,
01M0E9X17RZ522YBF6Z913H4VJ,27.78,75.08,0.6258,data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,True,,,30.0,44100,16,2,5292142,0.0,-18.38,-2.38,False,False,False,False,False,False,False,False,False,False,False,
01M0E9X162CTB4D15WZQ5D8FVX,19.27,51.99,0.3425,data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,True,,,30.0,44100,16,2,5292142,0.0,-18.64,-0.1,False,False,False,False,False,False,False,False,False,False,False,
01M0E9X1BHAGVNQYTXE4CMNJV0,19.88,45.52,0.303,data/00_raw_collect/raw_audio/e8/fb/e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav,True,,,30.0,44100,16,2,5292142,0.0,-17.5,-0.02,False,False,False,False,False,False,False,False,False,False,False,
01M0E9X1AGP5JXX7YEA7NAV25V,24.55,68.33,0.4361,data/00_raw_collect/raw_audio/13/b9/13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav,True,,,30.0,44100,16,2,5292142,0.0,-18.99,-2.69,False,False,False,False,False,False,False,False,False,False,False,
01M0E9X1CNR601CZY38WVQB82E,0.0,0.0,0.0,data/00_raw_collect/raw_audio/25/84/258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav,False,时长过短: 2.0s < 5s,降噪候选: spectral_flatness=1.000>0.5,2.015,44100,16,2,355538,0.0,-inf,-200.0,False,True,False,False,False,False,False,False,False,False,True,spectral_flatness=1.000>0.5
01M0RFPVY8ZNBRSF3M6KVT1TY2,20.33,25.27,0.1101,data/00_raw_collect/raw_audio/61/b6/61b663c9b13898ba8ad5bcf34e5a7ec6_01M0RFPVY8ZNBRSF3M6KVT1TY2.mp3,True,,,134.893,44100,0,1,1489998,0.0,-29.43,-11.66,False,False,False,False,False,False,False,False,False,False,False,
01M0RFPVRHY5G2H321MC6ZR7AZ,17.15,21.32,0.0588,data/00_raw_collect/raw_audio/3b/ef/3befa8983780f697b424cb71bd236663_01M0RFPVRHY5G2H321MC6ZR7AZ.mp3,True,,,281.051,44100,0,1,3508661,0.0,-17.77,-0.26,False,False,False,False,False,False,False,False,False,False,False,
01M0RFPVPNNQ8XKY1MCWV09261,14.12,32.13,0.1943,data/00_raw_collect/raw_audio/51/54/515480a47dbd89441fb385af845590d8_01M0RFPVPNNQ8XKY1MCWV09261.mp3,True,,SNR偏低: 14.1dB < 15dB (压缩过的音乐常见，不淘汰，人工审核); 降噪候选: SNR=14.1dB<15.0dB,440.424,44100,0,1,5226800,0.0,-19.66,-0.11,False,False,False,False,False,False,False,True,False,False,True,SNR=14.1dB<15.0dB
01M0RFPVS7VN7C7RPNCZ2XYDFS,14.9,30.23,0.1911,data/00_raw_collect/raw_audio/02/5e/025ee64371ee3bbdf9718a473863917e_01M0RFPVS7VN7C7RPNCZ2XYDFS.mp3,True,,SNR偏低: 14.9dB < 15dB (压缩过的音乐常见，不淘汰，人工审核); 降噪候选: SNR=14.9dB<15.0dB,214.738,44100,0,1,2842547,7.4e-05,-16.55,0.68,False,False,False,False,False,False,False,True,False,False,True,SNR=14.9dB<15.0dB
