audio_id,duration_sec,sample_rate,channels,bpm,lufs,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,spectral_rolloff_mean,rms_mean,rms_std,key,key_strength
3F34DF1B2784408BA60CE8165C,552.55,48000,2,123.05,-14.32,1403.73,435.35,0.0661,2742.14,0.172552,0.094672,C,0.5689
01M0RFPVS7VN7C7RPNCZ2XYDFS,214.74,48000,2,152.0,-19.56,1325.37,759.43,0.0452,2707.75,0.100498,0.058182,D,0.6202
A52E2E2FA5474C61984BCECC27,189.01,48000,2,136.0,-13.21,2026.2,818.83,0.0468,5263.75,0.261905,0.119204,E,0.7914
1EDDB5EFB16E4A36AFFFAC2132,210.33,48000,2,136.0,-20.16,2259.98,695.26,0.0921,4946.63,0.095982,0.038321,G#,0.6868
594E0C4719E34D6A98B438C503,208.0,48000,2,152.0,-14.08,2202.29,1013.38,0.097,4636.61,0.173551,0.084299,F#,0.472
01M0E9X19DMAXGT6QD167G1YJX,30.0,48000,2,123.05,-18.07,3403.01,821.11,0.2182,5647.38,0.06695,0.055982,E,0.51
8384A4DBF2B24CF98148BC9190,217.96,48000,2,117.45,-20.32,2824.82,850.93,0.1101,5965.68,0.096281,0.031956,C#,0.5069
01M0RFPVQSC0HP4QJKKVCQYKCX,526.34,48000,2,68.0,-21.19,1645.29,1012.06,0.0724,3348.26,0.073735,0.043667,D,0.522
01M0E9X1AGP5JXX7YEA7NAV25V,30.0,48000,2,80.75,-19.01,2931.18,1149.31,0.1876,4937.91,0.049198,0.051935,F,0.6339
BEF3CF9662D841528BDB33BFAF,263.04,48000,2,95.7,-22.33,2525.23,456.76,0.1428,4812.96,0.07067,0.016277,E,0.7683
A1AD6E948D2149EC940866F9D3,289.0,48000,2,172.27,-13.06,2098.96,992.7,0.0733,4634.66,0.243379,0.114208,G,0.7639
01M0RFPVT8N9F5BHQDGGGRMG21,323.79,48000,2,136.0,-19.67,2060.68,853.63,0.0723,4580.81,0.104129,0.045671,G#,0.6198
