audio_id,original_filename,file_relative_path,status,quality_flags,duration_seconds,sample_rate,bit_depth,channels,file_bytes,sha256,source,snapshot,imported_at,updated_at
track_0000955,track_0000955.mp3,raw_audio/mtg_jamendo/track_0000955.mp3,active,,217.49,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002211,track_0002211.mp3,raw_audio/mtg_jamendo/track_0002211.mp3,active,,292.83,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002212,track_0002212.mp3,raw_audio/mtg_jamendo/track_0002212.mp3,active,,323.79,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002213,track_0002213.mp3,raw_audio/mtg_jamendo/track_0002213.mp3,active,,242.39,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002214,track_0002214.mp3,raw_audio/mtg_jamendo/track_0002214.mp3,active,,526.34,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002215,track_0002215.mp3,raw_audio/mtg_jamendo/track_0002215.mp3,active,,281.05,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002216,track_0002216.mp3,raw_audio/mtg_jamendo/track_0002216.mp3,active,,440.42,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002217,track_0002217.mp3,raw_audio/mtg_jamendo/track_0002217.mp3,active,,285.86,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002218,track_0002218.mp3,raw_audio/mtg_jamendo/track_0002218.mp3,active,,443.79,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0002249,track_0002249.mp3,raw_audio/mtg_jamendo/track_0002249.mp3,active,,174.36,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003911,track_0003911.mp3,raw_audio/mtg_jamendo/track_0003911.mp3,active,,159.92,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003914,track_0003914.mp3,raw_audio/mtg_jamendo/track_0003914.mp3,active,,312.27,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003933,track_0003933.mp3,raw_audio/mtg_jamendo/track_0003933.mp3,active,,307.36,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003935,track_0003935.mp3,raw_audio/mtg_jamendo/track_0003935.mp3,active,,134.89,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003936,track_0003936.mp3,raw_audio/mtg_jamendo/track_0003936.mp3,active,,688.4,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0003939,track_0003939.mp3,raw_audio/mtg_jamendo/track_0003939.mp3,active,,481.73,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0004028,track_0004028.mp3,raw_audio/mtg_jamendo/track_0004028.mp3,active,,297.65,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0004880,track_0004880.mp3,raw_audio/mtg_jamendo/track_0004880.mp3,active,,214.74,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0004882,track_0004882.mp3,raw_audio/mtg_jamendo/track_0004882.mp3,active,,210.39,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
track_0004883,track_0004883.mp3,raw_audio/mtg_jamendo/track_0004883.mp3,active,,249.5,44100,16,2,,,mtg_jamendo,gpu_backup_20260820_173500,2026-08-20T11:27:23.740108+08:00,2026-08-20T11:27:23.740865+08:00
