track,status,lufs,bpm,n_beats,clap_dim,n_f0_frames,f0_conf_mean,rms_mean,centroid_mean,zcr_mean,mfcc1_mean,chroma_mean,dur_s,secs,TRACK_ID,ARTIST_ID,ALBUM_ID,PATH,DURATION,TAGS
track_0000955,ok,-14.33,125.0,453,512,21750,0.0011,0.200585,2136.9,0.042281,-163.1995,0.49375,217.49,20.0,track_0000955,artist_000087,album_000149,55/955.mp3,217.5,genre---acid genre---chillout genre---downtempo genre---electronic genre---jazz instrument---synthesizer
track_0002211,ok,-16.96,133.33,646,512,29284,0.0118,0.144855,2064.32,0.043283,-207.3268,0.45108,292.83,25.9,track_0002211,artist_000276,album_000357,11/2211.mp3,292.9,genre---funk genre---jazz
track_0002212,ok,-16.65,133.33,722,512,32379,0.0858,0.144884,2418.83,0.044531,-201.5042,0.412452,323.79,29.6,track_0002212,artist_000276,album_000357,12/2212.mp3,323.8,genre---funk genre---jazz
track_0002213,ok,-15.47,130.43,527,512,24240,0.0004,0.174635,1979.62,0.034139,-198.2778,0.450829,242.39,21.2,track_0002213,artist_000276,album_000357,13/2213.mp3,242.4,genre---funk genre---jazz genre---world genre---worldfusion
track_0002214,ok,-18.17,96.77,750,512,52635,0.0576,0.102982,1895.56,0.041625,-269.9273,0.447251,526.34,45.9,track_0002214,artist_000276,album_000357,14/2214.mp3,526.4,genre---alternative genre---experimental genre---funk genre---jazz
track_0002215,ok,-17.77,75.0,403,512,28106,0.0003,0.126617,2452.74,0.055512,-182.9434,0.447381,281.05,24.4,track_0002215,artist_000276,album_000357,15/2215.mp3,281.1,genre---funk genre---jazz
track_0002216,ok,-19.66,69.77,555,512,44043,0.0059,0.095748,2005.8,0.038667,-287.0927,0.526492,440.42,37.2,track_0002216,artist_000276,album_000357,16/2216.mp3,440.5,genre---funk genre---jazz
track_0002217,ok,-15.14,142.86,682,512,28586,0.0882,0.16838,2682.52,0.057797,-168.2349,0.430488,285.86,25.3,track_0002217,artist_000276,album_000357,17/2217.mp3,285.9,genre---funk genre---jazz
track_0002218,ok,-17.83,127.66,931,512,44380,0.0155,0.114423,2760.16,0.063172,-206.2034,0.477183,443.79,39.0,track_0002218,artist_000276,album_000357,18/2218.mp3,443.8,genre---funk genre---jazz
track_0002249,ok,-20.71,120.0,340,512,17436,0.1207,0.071823,2621.52,0.055258,-302.0665,0.357079,174.36,15.7,track_0002249,artist_000332,album_000363,49/2249.mp3,174.4,genre---jazz
track_0003911,ok,-15.49,111.11,295,512,15993,0.0013,0.186322,1707.02,0.028282,-192.5639,0.642572,159.92,15.6,track_0003911,artist_000508,album_000612,11/3911.mp3,159.9,genre---electronic genre---fusion genre---jazz
track_0003914,ok,-21.04,146.34,596,512,31227,0.0008,0.067796,2163.45,0.042365,-272.5946,0.534776,312.27,30.5,track_0003914,artist_000508,album_000612,14/3914.mp3,312.3,genre---electronic genre---jazz
track_0003933,ok,-19.26,92.31,538,512,30737,0.0524,0.088249,2743.75,0.056815,-241.3148,0.396509,307.36,26.6,track_0003933,artist_000573,album_000615,33/3933.mp3,307.4,genre---jazz
track_0003935,ok,-29.43,82.19,186,512,13490,0.4454,0.028345,1935.57,0.044516,-388.8492,0.328197,134.89,13.4,track_0003935,artist_000573,album_000615,35/3935.mp3,134.9,genre---jazz
track_0003936,ok,-20.84,136.36,1239,512,68841,0.1741,0.075663,2563.04,0.049802,-264.7324,0.492971,688.4,60.0,track_0003936,artist_000573,album_000615,36/3936.mp3,688.4,genre---jazz
track_0003939,ok,-20.45,89.55,708,512,48174,0.2168,0.075503,1680.69,0.035662,-291.268,0.439209,481.73,43.7,track_0003939,artist_000573,album_000615,39/3939.mp3,481.8,genre---jazz
track_0004028,ok,-11.43,181.82,871,512,29766,0.0145,0.27578,2262.49,0.044468,-135.0742,0.555466,297.65,28.3,track_0004028,artist_000614,album_000633,28/4028.mp3,297.7,genre---electronic genre---jazz
track_0004880,ok,-16.55,150.0,544,512,21474,0.0344,0.140117,1731.51,0.02739,-258.6806,0.454399,214.74,20.5,track_0004880,artist_000696,album_000751,80/4880.mp3,214.8,genre---blues genre---easylistening genre---electronic genre---funk genre---jazz genre---lounge mood/theme---urban
track_0004882,ok,-18.1,71.43,253,512,21040,0.2485,0.107196,912.86,0.017837,-337.3776,0.302775,210.39,20.0,track_0004882,artist_000696,album_000751,82/4882.mp3,210.4,genre---ambient genre---easylistening genre---electronic genre---ethno genre---jazz genre---lounge genre---world mood/theme---meditative
track_0004883,ok,-16.15,139.53,582,512,24951,0.0147,0.142958,2584.72,0.065967,-242.8375,0.392386,249.5,22.7,track_0004883,artist_000696,album_000751,83/4883.mp3,249.5,genre---easylistening genre---electronic genre---jazz genre---lounge genre---world mood/theme---meditative
