track,status,lufs,bpm,n_beats,clap_dim,n_f0_frames,f0_conf_mean,rms_mean,centroid_mean,zcr_mean,mfcc1_mean,chroma_mean,dur_s,secs,n_beats_detailed,beat_interval_mean,beat_interval_std,beat_interval_min,beat_interval_max,first_beat_time,last_beat_time,n_f0_frames_detailed,f0_hz_mean,f0_hz_std,f0_hz_min,f0_hz_max,f0_hz_median,f0_confidence_mean,f0_confidence_std,f0_high_conf_ratio,f0_vocal_ratio
track_0000955,ok,-14.33,125.0,453,512,21750,0.0011,0.200585,2136.9,0.042281,-163.1995,0.49375,217.49,20.0,453,0.4800221238938054,0.007884646607568007,0.4500000000000002,0.5200000000000102,0.05,217.02,21750,2005.5572437365302,9.459640688736219,1982.80517578125,2028.52734375,2005.5230712890625,0.0010574119911707157,0.004817979394427575,0.0,0.0
track_0002211,ok,-16.96,133.33,646,512,29284,0.0118,0.144855,2064.32,0.043283,-207.3268,0.45108,292.83,25.9,646,0.4528682170542635,0.016329637223767325,0.39999999999997726,0.51,0.3,292.4,29284,1977.4880285785428,209.86393863890996,331.4798583984375,2028.6796875,2005.2196044921875,0.011751213866085035,0.09260366288718572,0.012737330965715067,0.014615489687201203
track_0002212,ok,-16.65,133.33,722,512,32379,0.0858,0.144884,2418.83,0.044531,-201.5042,0.412452,323.79,29.6,722,0.4480582524271844,0.012926848137547858,0.4099999999999966,0.490000000000002,0.33,323.38,32379,1797.8906225454646,569.2766728895382,123.70816040039062,2028.57568359375,2003.814453125,0.08581493431998538,0.2490106997712819,0.09895302510886686,0.10667407887828531
track_0002213,ok,-15.47,130.43,527,512,24240,0.0004,0.174635,1979.62,0.034139,-198.2778,0.450829,242.39,21.2,527,0.4591825095057034,0.015424813294988989,0.4199999999999875,0.5200000000000102,0.39,241.92,24240,2005.4763503877243,9.461775751551016,1982.6072998046875,2028.6749267578125,2005.5164794921875,0.00037164343180896955,0.00195950887807937,0.0,0.0
track_0002214,ok,-18.17,96.77,750,512,52635,0.0576,0.102982,1895.56,0.041625,-269.9273,0.447251,526.34,45.9,750,0.7007209612817088,0.1506098447700749,0.45999999999997954,1.08,0.93,525.77,52635,1852.4244654886922,505.6327016905012,64.23775482177734,2028.61669921875,2004.4256591796875,0.057606462236713035,0.20522101376302385,0.06622969506982046,0.07213831100978436
track_0002215,ok,-17.77,75.0,403,512,28106,0.0003,0.126617,2452.74,0.055512,-182.9434,0.447381,281.05,24.4,403,0.6970149253731345,0.18369627965834756,0.37999999999999545,0.8899999999999864,0.34,280.54,28106,2005.4290996158725,9.517914819225217,1982.6197509765625,2028.693115234375,2005.40771484375,0.00032949978520122985,0.0016910023674948775,0.0,0.0
track_0002216,ok,-19.66,69.77,555,512,44043,0.0059,0.095748,2005.8,0.038667,-287.0927,0.526492,440.42,37.2,555,0.7932671480144405,0.1556944757760308,0.4199999999999591,1.1299999999999955,0.38,439.85,44043,1994.6313469224644,131.5024817342996,389.3637390136719,2028.520751953125,2005.505859375,0.005932036353894193,0.06781316272080497,0.006380128510773562,0.006425538678110029
track_0002217,ok,-15.14,142.86,682,512,28586,0.0882,0.16838,2682.52,0.057797,-168.2349,0.430488,285.86,25.3,682,0.41859030837004413,0.01441195335353181,0.36999999999999744,0.4700000000000273,0.35,285.41,28586,1820.6896325708362,507.15678188976875,278.5669250488281,2028.6956787109373,2003.795166015625,0.08823551992876652,0.25655919390658977,0.09962918911355209,0.10620583502413769
track_0002218,ok,-17.83,127.66,931,512,44380,0.0155,0.114423,2760.16,0.063172,-206.2034,0.477183,443.79,39.0,931,0.4766236559139785,0.04222569008036876,0.36000000000001364,0.7599999999999909,0.38,443.64,44380,1974.3214702693876,219.64206953990455,306.6944580078125,2028.53076171875,2005.356689453125,0.015544901820676893,0.11125895057634022,0.01721496169445696,0.01775574583145561
track_0002249,ok,-20.71,120.0,340,512,17436,0.1207,0.071823,2621.52,0.055258,-302.0665,0.357079,174.36,15.7,340,0.5108554572271387,0.048220606539086795,0.46000000000000085,0.77,0.7,173.88,17436,1700.1427099075195,661.0907747056688,129.79151916503906,2028.546875,2002.9624633789062,0.12073221072618767,0.28004719473134715,0.13844918559302594,0.15777701307639366
track_0003911,ok,-15.49,111.11,295,512,15993,0.0013,0.186322,1707.02,0.028282,-192.5639,0.642572,159.92,15.6,295,0.5419387755102041,0.01823830330223057,0.46000000000000796,0.5899999999999999,0.03,159.36,15993,2005.5016627071097,9.398581094096263,1982.7088623046875,2028.671630859375,2005.4468994140625,0.001327912370718397,0.0031606077070255255,0.0,0.0
track_0003914,ok,-21.04,146.34,596,512,31227,0.0008,0.067796,2163.45,0.042365,-272.5946,0.534776,312.27,30.5,596,0.5227394957983192,0.1835899459992694,0.37999999999999545,0.9699999999999989,0.62,311.65,31227,2005.5351386472005,9.454955227419129,1982.5364990234373,2028.657470703125,2005.5589599609373,0.0007742508500763985,0.002785915378467118,0.0,0.0
track_0003933,ok,-19.26,92.31,538,512,30737,0.0524,0.088249,2743.75,0.056815,-241.3148,0.396509,307.36,26.6,538,0.5708007448789572,0.17337140936739628,0.29999999999998295,1.0200000000000102,0.35,306.87,30737,1915.8895738224833,357.33103619819593,173.474365234375,2028.698974609375,2004.6754150390625,0.0524164020027331,0.2098620837151378,0.0566092982399063,0.05846374076845496
track_0003935,ok,-29.43,82.19,186,512,13490,0.4454,0.028345,1935.57,0.044516,-388.8492,0.328197,134.89,13.4,186,0.7222702702702702,0.09865162527904554,0.5600000000000023,1.009999999999991,0.37,133.99,13490,1060.6983390680855,838.3671508023835,49.21581268310547,2028.243896484375,444.34938049316406,0.44541193449706423,0.43331664109549306,0.5052631578947369,0.5174203113417346
track_0003936,ok,-20.84,136.36,1239,512,68841,0.1741,0.075663,2563.04,0.049802,-264.7324,0.492971,688.4,60.0,1239,0.5556462035541195,0.21370195193925295,0.30999999999994543,1.1200000000000045,0.37,688.26,68841,1621.0091856196227,726.7479816671449,54.664344787597656,2028.721923828125,2002.0712890625,0.17410163397966155,0.35107564722802875,0.1925160877965166,0.19815226391249402
track_0003939,ok,-20.45,89.55,708,512,48174,0.2168,0.075503,1680.69,0.035662,-291.268,0.439209,481.73,43.7,708,0.6798444130127298,0.13692047932918305,0.41999999999999993,1.1100000000000136,0.38,481.03,48174,1479.915319256979,831.1319710006571,49.20822143554688,2028.634765625,2000.2192993164062,0.21682795283167278,0.3736562374210383,0.2418732096151451,0.25324864034541456
track_0004028,ok,-11.43,181.82,871,512,29766,0.0145,0.27578,2262.49,0.044468,-135.0742,0.555466,297.65,28.3,871,0.3415287356321839,0.051793875082895,0.30999999999999517,0.6800000000000068,0.04,297.17,29766,1972.512356551594,249.51821898372626,64.90889739990234,2028.698974609375,2005.3209838867188,0.014481181672081565,0.11058774057512748,0.01474837062420211,0.015151515151515152
track_0004880,ok,-16.55,150.0,544,512,21474,0.0344,0.140117,1731.51,0.02739,-258.6806,0.454399,214.74,20.5,544,0.3947329650092081,0.009685313816895918,0.3699999999999761,0.4300000000000068,0.0,214.34,21474,1920.925495705858,377.7593910679473,147.97113037109375,2028.6180419921875,2004.739013671875,0.03441469387664685,0.1632177185907018,0.03832541678308652,0.041818012480208624
track_0004882,ok,-18.1,71.43,253,512,21040,0.2485,0.107196,912.86,0.017837,-337.3776,0.302775,210.39,20.0,253,0.8323015873015872,0.1499241220699091,0.5099999999999909,1.1300000000000239,0.02,209.76,21040,1396.8715461078252,836.1390424089827,72.16275024414062,2028.64404296875,1998.1946411132812,0.24851212950134483,0.3697545513428541,0.28811787072243344,0.3157794676806084
track_0004883,ok,-16.15,139.53,582,512,24951,0.0147,0.142958,2584.72,0.065967,-242.8375,0.392386,249.5,22.7,582,0.4287263339070568,0.010532915957773973,0.3999999999999915,0.4500000000000002,0.0,249.09,24951,1986.3859291799818,139.16599304462986,778.898193359375,2028.759521484375,2005.241943359375,0.014700193667319911,0.10731024704941687,0.017434170975111216,0.01783495651476895
