chunk_id,audio_id,source_path,chunk_path,start_time,end_time,duration,sample_rate,channels,bit_depth
01M0E9X162CTB4D15WZQ5D8FVX_chunk0000,01M0E9X162CTB4D15WZQ5D8FVX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X162CTB4D15WZQ5D8FVX_chunk0000.wav,0.0,15.0,15.0,44100,2,16
01M0E9X162CTB4D15WZQ5D8FVX_chunk0001,01M0E9X162CTB4D15WZQ5D8FVX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X162CTB4D15WZQ5D8FVX_chunk0001.wav,7.5,22.5,15.0,44100,2,16
01M0E9X162CTB4D15WZQ5D8FVX_chunk0002,01M0E9X162CTB4D15WZQ5D8FVX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X162CTB4D15WZQ5D8FVX_chunk0002.wav,15.0,30.0,15.0,44100,2,16
01M0E9X162CTB4D15WZQ5D8FVX_chunk0003,01M0E9X162CTB4D15WZQ5D8FVX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X162CTB4D15WZQ5D8FVX_chunk0003.wav,22.5,30.0,7.5,44100,2,16
01M0E9X17RZ522YBF6Z913H4VJ_chunk0000,01M0E9X17RZ522YBF6Z913H4VJ,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X17RZ522YBF6Z913H4VJ_chunk0000.wav,0.0,15.0,15.0,44100,2,16
01M0E9X17RZ522YBF6Z913H4VJ_chunk0001,01M0E9X17RZ522YBF6Z913H4VJ,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X17RZ522YBF6Z913H4VJ_chunk0001.wav,7.5,22.5,15.0,44100,2,16
01M0E9X17RZ522YBF6Z913H4VJ_chunk0002,01M0E9X17RZ522YBF6Z913H4VJ,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X17RZ522YBF6Z913H4VJ_chunk0002.wav,15.0,30.0,15.0,44100,2,16
01M0E9X17RZ522YBF6Z913H4VJ_chunk0003,01M0E9X17RZ522YBF6Z913H4VJ,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X17RZ522YBF6Z913H4VJ_chunk0003.wav,22.5,30.0,7.5,44100,2,16
01M0E9X19DMAXGT6QD167G1YJX_chunk0000,01M0E9X19DMAXGT6QD167G1YJX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X19DMAXGT6QD167G1YJX_chunk0000.wav,0.0,15.0,15.0,44100,2,16
01M0E9X19DMAXGT6QD167G1YJX_chunk0001,01M0E9X19DMAXGT6QD167G1YJX,/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,/Users/m.jian/music_corpus_project/data/stage6_segments/01M0E9X19DMAXGT6QD167G1YJX_chunk0001.wav,7.5,22.5,15.0,44100,2,16
