audio_id,original_filename,source_url,genre_major,vocal_presence,source_type,duration_sec,decade,artist_id,collected,qc_status,notes
01M0E9X162CTB4D15WZQ5D8FVX,f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,,,,ace_studio_generated_demucs_vocals,30.0,,unknown_01M0E9X1,yes,pending,
01M0E9X17RZ522YBF6Z913H4VJ,6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,,,,ace_studio_generated_demucs_vocals,30.0,,unknown_01M0E9X1,yes,pending,
01M0E9X19DMAXGT6QD167G1YJX,0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,,,,ace_studio_generated_demucs_vocals,30.0,,unknown_01M0E9X1,yes,pending,
01M0E9X1AGP5JXX7YEA7NAV25V,13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav,,,,ace_studio_generated_demucs_vocals,30.0,,unknown_01M0E9X1,yes,pending,
01M0E9X1BHAGVNQYTXE4CMNJV0,e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav,,,,ace_studio_generated_demucs_vocals,30.0,,unknown_01M0E9X1,yes,pending,
01M0E9X1CNR601CZY38WVQB82E,258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav,,,,normal,2.015,,unknown_01M0E9X1,yes,pending,
01M0E9X1D5FB4ZND9B13XSD71K,de3496908c92f8421727d3e527103b57_01M0E9X1D5FB4ZND9B13XSD71K.mp3,,,,normal,98.457,,unknown_01M0E9X1,yes,pending,
01M0RFPVN7FD6R26FDRFX77R9Z,3a9570be947691c9da7313787e0c3f43_01M0RFPVN7FD6R26FDRFX77R9Z.mp3,,,,normal,210.39,,unknown_01M0RFPV,yes,pending,
01M0RFPVNJ21SF5Y7VHPP8QV6T,ecfb89c0cd2208c39e00aac31a253a1f_01M0RFPVNJ21SF5Y7VHPP8QV6T.mp3,,,,normal,285.858,,unknown_01M0RFPV,yes,pending,
01M0RFPVP4DRN0N5QYQ124EVEY,1ffebc2bd5ff8c6fad820477a0d14f58_01M0RFPVP4DRN0N5QYQ124EVEY.mp3,,,,normal,312.267,,unknown_01M0RFPV,yes,pending,
01M0RFPVPNNQ8XKY1MCWV09261,515480a47dbd89441fb385af845590d8_01M0RFPVPNNQ8XKY1MCWV09261.mp3,,,,normal,440.424,,unknown_01M0RFPV,yes,pending,
